node_id,lat,lon,hospital_name,hospital_capacity,hospital_specialties,hospital_emergency
381244242,42.5924966,-5.5652961,,0,,False
381244245,42.5923307,-5.5661227,,0,,False
381244253,42.5922522,-5.5662504,,0,,False
381244261,42.5935019,-5.5676378,,0,,False
381244315,42.5937366,-5.5679415,,0,,False
381244318,42.5937436,-5.5656978,,0,,False
381244332,42.5931775,-5.5644394,,0,,False
381244335,42.5929577,-5.5654546,,0,,False
381244342,42.5958825,-5.5649564,,0,,False
381244360,42.5915913,-5.564293,,0,,False
381461501,42.6127371,-5.5669211,,0,,False
381461503,42.6125741,-5.5668007,,0,,False
381461516,42.6125342,-5.5665261,,0,,False
381461519,42.6125989,-5.5663819,,0,,False
381461524,42.6127064,-5.5663056,,0,,False
381461542,42.6129853,-5.5666213,,0,,False
381461546,42.6129711,-5.5667187,,0,,False
381461550,42.6128796,-5.5668729,,0,,False
381464603,42.613038,-5.5656187,,0,,False
381464608,42.613281,-5.5656649,,0,,False
381464623,42.6133159,-5.5657319,,0,,False
381503084,42.6117272,-5.5869101,,0,,False
389042397,42.5820064,-5.5670196,,0,,False
389042400,42.5817101,-5.5654504,,0,,False
389042401,42.581584,-5.5654003,,0,,False
389042404,42.5815023,-5.564852,,0,,False
389042408,42.5819833,-5.5649598,,0,,False
389042409,42.5819768,-5.5652183,,0,,False
389042410,42.5868765,-5.5654283,,0,,False
389042413,42.5803144,-5.5718105,,0,,False
389042414,42.5801875,-5.5717764,,0,,False
389042417,42.5813755,-5.5668547,,0,,False
389042420,42.5814516,-5.5665202,,0,,False
389042423,42.5804029,-5.5738576,,0,,False
389042427,42.5800816,-5.5738326,,0,,False
389042429,42.580019,-5.5738576,,0,,False
389042437,42.5854018,-5.5756305,,0,,False
389042453,42.5857197,-5.5780722,,0,,False
389042454,42.5857747,-5.5770938,,0,,False
389042469,42.5858813,-5.5771234,,0,,False
390043118,42.5939689,-5.5658841,,0,,False
390043120,42.5940191,-5.5657487,,0,,False
390043121,42.591469,-5.5639748,,0,,False
390043125,42.5937523,-5.5644109,,0,,False
390043135,42.5899069,-5.5625575,,0,,False
390043137,42.590608,-5.56321,,0,,False
390054285,42.5701019,-5.5829861,,0,,False
413667654,42.5481296,-5.5833651,,0,,False
413671490,42.5480303,-5.5808494,,0,,False
413671555,42.55517,-5.5836967,,0,,False
413679732,42.5965986,-5.5778778,,0,,False
413679734,42.5987228,-5.5798056,,0,,False
413679735,42.5999464,-5.580917,,0,,False
413679740,42.6012811,-5.5808787,,0,,False
413679746,42.6073939,-5.5877547,,0,,False
413679747,42.6072792,-5.5876513,,0,,False
414253050,42.5855666,-5.5992495,,0,,False
417962896,42.6129389,-5.5658567,,0,,False
417962898,42.6132893,-5.5660278,,0,,False
417962899,42.6132244,-5.5660959,,0,,False
417962905,42.6149166,-5.567025,,0,,False
417962917,42.6162668,-5.5626865,,0,,False
417962921,42.6121605,-5.580691,,0,,False
417962922,42.6127343,-5.5790747,,0,,False
417962924,42.6120862,-5.5775607,,0,,False
417962928,42.613388,-5.5777729,,0,,False
417962930,42.6082124,-5.5724936,,0,,False
417962931,42.608277,-5.5732405,,0,,False
428049862,42.6121648,-5.5613211,,0,,False
428049863,42.6119416,-5.5610009,,0,,False
428049870,42.611888,-5.5611658,,0,,False
428049872,42.6119485,-5.5613404,,0,,False
428049874,42.6120653,-5.5609473,,0,,False
428049876,42.6126885,-5.5634934,,0,,False
