edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1247,593276581,593276700,0,Calle de San Juan,tertiary,79.5,2,30,True,0.159,0.5,0.85,True,42.5964236,-5.5638739,42.5971177,-5.5636416
1248,593276605,593276644,0,Calle San Carlos Borromeo,residential,40.89,1,30,True,0.0818,0.6,0.85,True,42.5954213,-5.5619719,42.5953287,-5.5614885
1249,593276605,11212491854,0,Calle Batalla de Clavijo,residential,23.12,1,30,True,0.0462,0.6,0.85,True,42.5954213,-5.5619719,42.595219,-5.5620335
1250,593276605,593299656,0,Calle Batalla de Clavijo,residential,18.52,1,30,True,0.037,0.6,0.85,True,42.5954213,-5.5619719,42.5953018,-5.5621296
1251,593276621,600503072,0,Avenida Real,secondary,11.09,2,30,False,0.0222,0.4,0.85,True,42.594002,-5.5599188,42.5940813,-5.5598367
1252,593276621,593320084,0,Calle Pendón de Baeza,secondary,121.41,2,30,False,0.2428,0.4,0.85,True,42.594002,-5.5599188,42.5931518,-5.5608494
1253,593276626,593276621,0,Calle de Daoíz y Velarde,residential,108.52,1,30,True,0.217,0.6,0.85,True,42.5945357,-5.5610284,42.594002,-5.5599188
1254,593276626,1070708704,0,Calle Santo Toribio de Mogrobejo,residential,134.78,1,30,False,0.2696,0.6,0.85,True,42.5945357,-5.5610284,42.5950798,-5.5600508
1255,593276630,593299660,0,Calle Juan de Herrera,residential,104.18,1,30,True,0.2084,0.6,0.85,True,42.5947389,-5.5614425,42.5940279,-5.5622713
1256,593276630,593276626,0,Calle de Daoíz y Velarde,residential,40.74,1,30,True,0.0815,0.6,0.85,True,42.5947389,-5.5614425,42.5945357,-5.5610284
1257,593276644,593276659,0,Calle Emperador Carlos,residential,151.96,1,30,True,0.3039,0.6,0.85,True,42.5953287,-5.5614885,42.5966586,-5.5610611
1258,593276644,593276647,0,Calle San Carlos Borromeo,residential,42.43,1,30,True,0.0849,0.6,0.85,True,42.5953287,-5.5614885,42.5952354,-5.5609859
